,exchangeCD,calendarDate,isOpen,prevTradeDate,isWeekEnd,isMonthEnd,isQuarterEnd,isYearEnd
390,CCFX,2009-01-25,0,2009-01-23,0,0,0,0
391,CCFX,2009-01-26,0,2009-01-23,0,0,0,0
392,CCFX,2009-01-27,0,2009-01-23,0,0,0,0
393,CCFX,2009-01-28,0,2009-01-23,0,0,0,0
394,CCFX,2009-01-29,0,2009-01-23,0,0,0,0
395,CCFX,2009-01-30,0,2009-01-23,0,0,0,0
396,CCFX,2009-01-31,0,2009-01-23,0,0,0,0
397,CCFX,2009-02-01,0,2009-01-23,0,0,0,0
398,CCFX,2009-02-02,1,2009-01-23,0,0,0,0
399,CCFX,2009-02-03,1,2009-02-02,0,0,0,0
400,CCFX,2009-02-04,1,2009-02-03,0,0,0,0
401,CCFX,2009-02-05,1,2009-02-04,0,0,0,0
402,CCFX,2009-02-06,1,2009-02-05,1,0,0,0
403,CCFX,2009-02-07,0,2009-02-06,0,0,0,0
404,CCFX,2009-02-08,0,2009-02-06,0,0,0,0
405,CCFX,2009-02-09,1,2009-02-06,0,0,0,0
406,CCFX,2009-02-10,1,2009-02-09,0,0,0,0
407,CCFX,2009-02-11,1,2009-02-10,0,0,0,0
408,CCFX,2009-02-12,1,2009-02-11,0,0,0,0
409,CCFX,2009-02-13,1,2009-02-12,1,0,0,0
410,CCFX,2009-02-14,0,2009-02-13,0,0,0,0
411,CCFX,2009-02-15,0,2009-02-13,0,0,0,0
412,CCFX,2009-02-16,1,2009-02-13,0,0,0,0
413,CCFX,2009-02-17,1,2009-02-16,0,0,0,0
414,CCFX,2009-02-18,1,2009-02-17,0,0,0,0
415,CCFX,2009-02-19,1,2009-02-18,0,0,0,0
416,CCFX,2009-02-20,1,2009-02-19,1,0,0,0
417,CCFX,2009-02-21,0,2009-02-20,0,0,0,0
418,CCFX,2009-02-22,0,2009-02-20,0,0,0,0
419,CCFX,2009-02-23,1,2009-02-20,0,0,0,0
420,CCFX,2009-02-24,1,2009-02-23,0,0,0,0
421,CCFX,2009-02-25,1,2009-02-24,0,0,0,0
422,CCFX,2009-02-26,1,2009-02-25,0,0,0,0
423,CCFX,2009-02-27,1,2009-02-26,1,1,0,0
424,CCFX,2009-02-28,0,2009-02-27,0,0,0,0
425,CCFX,2009-03-01,0,2009-02-27,0,0,0,0
426,CCFX,2009-03-02,1,2009-02-27,0,0,0,0
427,CCFX,2009-03-03,1,2009-03-02,0,0,0,0
428,CCFX,2009-03-04,1,2009-03-03,0,0,0,0
429,CCFX,2009-03-05,1,2009-03-04,0,0,0,0
430,CCFX,2009-03-06,1,2009-03-05,1,0,0,0
431,CCFX,2009-03-07,0,2009-03-06,0,0,0,0
432,CCFX,2009-03-08,0,2009-03-06,0,0,0,0
433,CCFX,2009-03-09,1,2009-03-06,0,0,0,0
434,CCFX,2009-03-10,1,2009-03-09,0,0,0,0
435,CCFX,2009-03-11,1,2009-03-10,0,0,0,0
436,CCFX,2009-03-12,1,2009-03-11,0,0,0,0
437,CCFX,2009-03-13,1,2009-03-12,1,0,0,0
438,CCFX,2009-03-14,0,2009-03-13,0,0,0,0
439,CCFX,2009-03-15,0,2009-03-13,0,0,0,0
440,CCFX,2009-03-16,1,2009-03-13,0,0,0,0
441,CCFX,2009-03-17,1,2009-03-16,0,0,0,0
